Name,Rating,Ingredient,Reviewer,Url
川味白砍鸡（口水鸡）,8.4,三黄鸡、小葱、老姜、花椒粒、料酒、黄瓜（或豆芽）、油辣子、小米辣、大蒜、生抽、醋、白糖、原汤（煮鸡的汤）、香油、花椒油、花椒粉、盐、冰块、冷开水、味精、熟白芝麻、熟花生碎,5,https://www.xiachufang.com/recipe/103913977/,,,,,,,,,,,,,,,
比肉还好吃的【手撕凉拌杏鲍菇】，上桌扫光光,8.2,杏鲍菇、小米椒、香葱、蒜头、香菜、辣椒面、芝麻、蚝油、生抽、香油、辣椒油、糖、盐、食用油,38,https://www.xiachufang.com/recipe/104146594/,,,,,,,,,,,,,,,
咸鲜可口的青红椒炒鸡丁,8.2,鸡胸、青红椒、姜葱蒜、料酒、淀粉、生抽、老抽、蚝油、盐糖,6,https://www.xiachufang.com/recipe/104147113/,,,,,,,,,,,,,,,
超级好吃的炖羊排,8.9,羊排、胡萝卜、番薯、土豆、年糕、香叶、八角、桂皮、干辣椒、大蒜籽、生姜、青红辣椒、大蒜、冰糖、盐、老酒、鸡精、老抽、生抽,5,https://www.xiachufang.com/recipe/104177381/,,,,,,,,,,,,,,,
焖蒜香鸡翅,8.5,鸡翅、土豆、胡萝卜、辅料：、大蒜、生抽、老抽、白胡椒粉、糖、盐（腌鸡翅用）、料酒、葱姜、盐（炒土豆和胡萝卜用）、食用油、水,5,https://www.xiachufang.com/recipe/104221571/,,,,,,,,,,,,,,,
川味家常豆干,7.1,卤豆干、青椒、肉、豆瓣酱、姜、蒜、料酒、盐、酱油、花椒、淀粉,20,https://www.xiachufang.com/recipe/103809260/,,,,,,,,,,,,,,,
鱼头泡饼 炖鱼头（家庭版旺顺阁）,8.9,胖头鱼鱼头、五花肉、黄豆酱、豆瓣酱、蚝油、料酒、生抽、老抽、醋、糖、盐、葱姜蒜、花椒、大料、干辣椒、香叶肉蔻等、香菜,3,https://www.xiachufang.com/recipe/103939232/,,,,,,,,,,,,,,,
小朋友最爱的可乐鸡翅,0,鸡翅、可乐、生抽、老抽、料酒、盐、糖、姜、八角、桂皮,1,https://www.xiachufang.com/recipe/104580400/,,,,,,,,,,,,,,,
小白的自制凉皮(水洗版),8.3,水、盐、高筋面粉,1,https://www.xiachufang.com/recipe/104053835/,,,,,,,,,,,,,,,
耗油生菜,7.6,生菜、蒜、食用油、调汤汁的佐料、蚝油、味极鲜酱油、料酒、黑胡椒、白糖、鸡精、水、白芝麻,7,https://www.xiachufang.com/recipe/104119318/,,,,,,,,,,,,,,,
【北鼎珐琅铸铁锅食谱】超浓郁咖喱鸡肉饭,9.1,米、鸡腿/胸肉、洋葱、胡萝卜、土豆、咖喱块、料酒、盐、油、热水,8,https://www.xiachufang.com/recipe/104190518/,,,,,,,,,,,,,,,
超详细简单上手烤红薯（烤箱版）,8.6,红薯、锡纸、烤箱、制作时间,2,https://www.xiachufang.com/recipe/104174896/,,,,,,,,,,,,,,,
柠檬鸡爪 超简单,8.3,鸡爪、柠檬、香菜、大蒜、八角、小米辣、生抽、糖、盐,17,https://www.xiachufang.com/recipe/104163704/,,,,,,,,,,,,,,,
连吃三晚的肉末豆腐蒸蛋，全家一致好评??,8.2,鸡蛋、肉末、鸡蛋豆腐、料酒、生抽、白砂糖、鸡精、葱、蒸鱼豉油,1,https://www.xiachufang.com/recipe/104568058/,,,,,,,,,,,,,,,
